"","pos","neg","year","qrt","econapp","fpapp","approve","gulf","trans","bizexp","bizretr","rass","lewin","favor","qrtunem","annumem","qrtinfl","annuminfl","bushjr","clinton","bushsr","reagan","carter","t","tt"
"1",0,0,1977,2,47.0800018310547,41.2099990844727,64.1100006103516,0,0,122,138,0,0,78.5289993286133,7.13000011444092,7.09999990463257,6.90000009536743,6.44999980926514,0,0,0,0,1,100,1
"2",0,0,1977,3,44.6500015258789,39.5400009155273,61.8300018310547,0,0,117,129,0,0,74.052001953125,6.90000009536743,7.09999990463257,6.69999980926514,6.44999980926514,0,0,0,0,1,100,2
"3",0,0,1977,4,34.7999992370605,38.8199996948242,55.6699981689453,0,0,106,116,0,0,72.245002746582,6.67000007629395,7.09999990463257,6.59999990463257,6.44999980926514,0,0,0,0,1,100,3
"4",0,0,1978,1,33.1199989318848,43.9599990844727,50.3300018310547,0,0,102,108,0,0,64.2369995117188,6.32999992370605,6.09999990463257,6.59999990463257,7.6100001335144,0,0,0,0,1,100,4
"5",0,0,1978,2,26.7700004577637,30.25,41.8300018310547,0,0,98,111,0,0,56.7000007629395,6,6.09999990463257,7,7.6100001335144,0,0,0,0,1,100,5
"6",1,0,1978,3,24.0499992370605,43.7900009155273,41.7200012207031,0,0,94,112,0,0,53.576000213623,6.03000020980835,6.09999990463257,7.90000009536743,7.6100001335144,0,0,0,0,1,100,6
"7",0,0,1978,4,26.75,43.2299995422363,50.5,0,0,79,99,0,0,57.5839996337891,5.90000009536743,6.09999990463257,8.89999961853027,7.6100001335144,0,0,0,0,1,100,7
"8",0,0,1979,1,22.6000003814697,38.1699981689453,42.8899993896484,0,0,68,91,0,0,50.4990005493164,5.86999988555908,5.80000019073486,9.80000019073486,11.2700004577637,0,0,0,0,1,100,8
"9",0,0,1979,2,20.9099998474121,35.4799995422363,34.5,0,0,58,81,0,0,48.101001739502,5.69999980926514,5.80000019073486,10.8000001907349,11.2700004577637,0,0,0,0,1,100,9
"10",0,0,1979,3,16.4899997711182,31.75,30.8299999237061,0,0,48,55,0,0,46.1059989929199,5.86999988555908,5.80000019073486,11.8000001907349,11.2700004577637,0,0,0,0,1,100,10
"11",1,0,1979,4,21.7900009155273,28.0799999237061,41.439998626709,0,0,50,56,0,0,59.556999206543,6,5.80000019073486,12.3000001907349,11.2700004577637,0,0,0,0,1,100,11
"12",1,1,1980,1,26.6499996185303,41.3300018310547,50.5,0,0,50,53,0,0,58.5620002746582,6.30000019073486,7.09999990463257,14.3000001907349,13.5200004577637,0,0,0,0,1,100,12
"13",0,2,1980,2,20.5,25.7700004577637,36.7200012207031,0,0,35,20,0,0,45.6699981689453,7.32999992370605,7.09999990463257,14.5,13.5200004577637,0,0,0,0,1,100,13
"14",0,0,1980,3,20.0200004577637,18.8400001525879,34,0,0,64,37,0,0,46.0309982299805,7.67000007629395,7.09999990463257,12.8999996185303,13.5200004577637,0,0,0,0,1,100,14
"15",0,0,1980,4,37.1399993896484,34.5,33,0,0,81,52,0,0,46.7159996032715,7.40000009536743,7.09999990463257,12.6000003814697,13.5200004577637,0,0,0,0,1,100,15
"16",1,0,1981,1,59.6699981689453,53.4199981689453,55.3300018310547,0,1,70,46,0,0,61.0340003967285,7.42999982833862,7.59999990463257,11.1999998092651,10.3800001144409,0,0,0,1,0,100,16
"17",0,0,1981,2,53.8199996948242,49.3400001525879,64.5599975585938,0,0,89,76,1,0,71.4670028686523,7.40000009536743,7.59999990463257,9.80000019073486,10.3800001144409,0,0,0,1,0,100,17
"18",0,0,1981,3,51.8400001525879,50.2700004577637,56.6399993896484,0,0,84,80,0,0,66.697998046875,7.40000009536743,7.59999990463257,10.8999996185303,10.3800001144409,0,0,0,1,0,100,18
"19",0,0,1981,4,47.1399993896484,65.4899978637695,51.6699981689453,0,0,59,46,0,0,62.3889999389648,8.22999954223633,7.59999990463257,9.5,10.3800001144409,0,0,0,1,0,100,19
"20",0,0,1982,1,42.2299995422363,43.3499984741211,48.6699981689453,0,0,55,28,0,0,59.4169998168945,8.82999992370605,9.69999980926514,7.59999990463257,6.13000011444092,0,0,0,1,0,100,20
